id,bp_loc_id,count_id,description,temperature,sky,count_type,town,from_st_name,from_st_dir,to_st_name,to_st_dir,count_date,count_dow,cnt_0630,cnt_0645,cnt_0700,cnt_0715,cnt_0730,cnt_0745,cnt_0800,cnt_0815,cnt_0830,cnt_0845,cnt_0900,cnt_0915,cnt_0930,cnt_0945,cnt_1000,cnt_1015,cnt_1030,cnt_1045,cnt_1100,cnt_1115,cnt_1130,cnt_1145,cnt_1200,cnt_1215,cnt_1230,cnt_1245,cnt_1300,cnt_1315,cnt_1330,cnt_1345,cnt_1400,cnt_1415,cnt_1430,cnt_1445,cnt_1500,cnt_1515,cnt_1530,cnt_1545,cnt_1600,cnt_1615,cnt_1630,cnt_1645,cnt_1700,cnt_1715,cnt_1730,cnt_1745,cnt_1800,cnt_1815,cnt_1830,cnt_1845,cnt_1900,cnt_1915,cnt_1930,cnt_1945,cnt_2000,cnt_2015,cnt_2030,cnt_2045,cnt_total
9710,20220,20345,extracted from hourly automated vehicle counts,,-99,B,Boston,Seaport Boulevard,EB,Seaport Boulevard,EB,9/27/2016 0:00,Tue,0,1,0,0,0,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,3,3,2,2,2,3,3,3,4,4,6,6,6,6,6,6,6,7,21,21,21,21,11,11,12,12,5,5,5,5,3,4,4,4,278
9711,20220,20345,extracted from hourly automated vehicle counts,,-99,B,Boston,Seaport Boulevard,EB,Seaport Boulevard,EB,9/27/2016 0:00,Tue,0,1,2,2,2,3,10,10,10,10,5,5,5,5,1,2,2,2,0,1,1,1,3,3,3,3,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,114
9712,20258,20346,extracted from hourly automated vehicle counts,,-99,B,Boston,D Street,EB,D Street,EB,9/27/2016 0:00,Tue,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,2,2,3,4,4,4,3,4,4,4,2,2,2,2,1,2,2,2,65
9713,20258,20346,extracted from hourly automated vehicle counts,,-99,B,Boston,D Street,EB,D Street,EB,9/27/2016 0:00,Tue,1,1,1,1,1,2,1,1,2,2,3,3,3,3,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,2,2,2,2,2,2,0,0,1,1,2,2,2,2,0,0,1,1,64
9714,20259,20347,extracted from hourly automated vehicle counts,,-99,B,Boston,L Street,EB,L Street,EB,9/27/2016 0:00,Tue,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,2,2,2,2,2,2,2,3,1,2,2,2,0,0,0,0,38
9715,20259,20347,extracted from hourly automated vehicle counts,,-99,B,Boston,L Street,EB,L Street,EB,9/27/2016 0:00,Tue,0,0,0,0,0,1,1,1,1,2,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,23
9716,20260,20348,extracted from hourly automated vehicle counts,,-99,B,Boston,A Street,EB,A Street,EB,9/27/2016 0:00,Tue,1,1,0,0,1,1,1,2,2,2,0,1,1,1,2,2,2,2,0,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,2,2,2,3,6,7,7,7,11,12,12,12,10,10,10,11,5,6,6,6,3,4,4,4,204
9717,20260,20348,extracted from hourly automated vehicle counts,,-99,B,Boston,A Street,EB,A Street,EB,9/27/2016 0:00,Tue,1,1,2,2,3,3,6,6,6,6,5,5,5,6,0,1,1,1,0,1,1,1,2,2,3,3,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,4,4,5,5,2,2,2,3,2,2,2,3,0,0,0,0,138
9718,20261,20349,extracted from hourly automated vehicle counts,,-99,B,Boston,D Street,EB,D Street,EB,9/27/2016 0:00,Tue,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,2,4,4,4,4,2,2,3,3,0,0,1,1,1,1,1,1,52
9719,20261,20349,extracted from hourly automated vehicle counts,,-99,B,Boston,D Street,EB,D Street,EB,9/27/2016 0:00,Tue,0,1,0,1,1,1,3,4,4,4,1,2,2,2,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,2,2,0,1,1,1,0,0,0,0,60
